Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00173	0.00759	COL1A2,COL11A1
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00173	0.00759	IL5,MMP13
POU5F1	POU class 5 homeobox 1	3	0.00219	0.00887	SPP1,SEMA6A,TDGF1
STAT1	signal transducer and activator of transcription 1, 91kDa	5	0.00227	0.00887	IFNB1,IL6,TIMP1,IL1B,MMP13
NCOA3	nuclear receptor coactivator 3	2	0.0024	0.00887	MMP10,MMP7
TCF4	transcription factor 4	3	0.00247	0.00887	FST,VCAN,CLEC4C
EGR1	early growth response 1	5	0.00278	0.00951	MMP14,GDF15,PLAU,IL6,GDNF
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00318	0.00951	MMP14,MMP1
ZFP36	ZFP36 ring finger protein	2	0.00318	0.00951	SERPINB2,IL6
YY1	YY1 transcription factor	5	0.00321	0.00951	IL1B,COL1A2,IFNB1,IL5,POSTN
EP300	E1A binding protein p300	4	0.00325	0.00951	IL5,IGFBP3,IL6,COL1A2
FOS	FBJ murine osteosarcoma viral oncogene homolog	4	0.00347	0.00978	MMP7,MMP3,MMP1,PLAU
ZNF148	zinc finger protein 148	2	0.00406	0.0111	CXCL5,MMP3
CDX2	caudal type homeobox 2	3	0.00504	0.0114	MEP1A,IGFBP3,REG4
EPAS1	endothelial PAS domain protein 1	2	0.00504	0.0114	COL10A1,MMP14
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	3	0.00504	0.0114	MMP1,MMP3,IL5
HOXB7	homeobox B7	2	0.00504	0.0114	THBS2,WNT5A
NFIL3	nuclear factor, interleukin 3 regulated	2	0.00504	0.0114	IL1B,AREG
POU2F2	POU class 2 homeobox 2	2	0.00504	0.0114	IL5,SPP1
JUND	jun D proto-oncogene	3	0.00598	0.0131	IL6,IL5,TIMP1
IRF8	interferon regulatory factor 8	2	0.00611	0.0131	IL12A,IL1B
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.00649	0.0131	S100P,IL6,PLAU
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.00649	0.0131	TIMP1,GDF15,MMP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.00702	0.0139	CCL11,COL1A2,COL1A1
HDAC1	histone deacetylase 1	4	0.00758	0.0146	IGFBP3,SPP1,SERPINB5,COL1A2
KLF4	Kruppel-like factor 4 (gut)	3	0.00941	0.0177	IL6,IL1B,GDF15
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	3	0.0108	0.0198	IL6,IGFBP3,AMH
FOSL2	FOS-like antigen 2	2	0.0113	0.0199	IL5,TIMP1
TBP	TATA box binding protein	2	0.0113	0.0199	IL6,PPBP
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	4	0.013	0.0223	HBEGF,PLAU,MUC3A,LEP
SIRT1	sirtuin 1	3	0.0155	0.026	IL1B,COL10A1,COL1A2
GLI2	GLI family zinc finger 2	2	0.0162	0.0266	FST,MUC5AC
GLI1	GLI family zinc finger 1	2	0.018	0.0284	MUC5AC,S100A9
RUNX2	runt-related transcription factor 2	2	0.018	0.0284	MMP13,PLAU
PAX5	paired box 5	2	0.0217	0.0337	MMP1,TIMP1
AHR	aryl hydrocarbon receptor	2	0.0237	0.0341	IL6,IL1B
NR5A1	nuclear receptor subfamily 5, group A, member 1	2	0.0237	0.0341	AMH,INSL3
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2	0.0237	0.0341	IL6,IL1B
SOX2	SRY (sex determining region Y)-box 2	2	0.0237	0.0341	SEMA6A,MMP3
HDAC4	histone deacetylase 4	2	0.028	0.0394	MMP13,IL5
SRF	serum response factor (c-fos serum response element-binding transcription factor)	2	0.0302	0.0405	MMP14,PLAU
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0302	0.0405	POSTN,GDF15
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	3	0.0303	0.0405	IL1B,IL5,CTSK
MITF	microphthalmia-associated transcription factor	2	0.0325	0.042	CTSK,SERPINF1
RARA	retinoic acid receptor, alpha	2	0.0325	0.042	PLAU,MUC5AC
TP53	tumor protein p53	5	0.0341	0.0435	S100B,GDF15,MMP1,VCAN,IGFBP3
HDAC2	histone deacetylase 2	2	0.0348	0.0437	MUC5AC,COL1A2
CIITA	class II, major histocompatibility complex, transactivator	2	0.0448	0.0545	COL1A1,COL1A2
SMAD3	SMAD family member 3	2	0.0448	0.0545	COL7A1,FST
ATF2	activating transcription factor 2	2	0.0475	0.0568	IFNB1,PLAU
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2	0.0616	0.0726	COL1A1,COL1A2
GATA3	GATA binding protein 3	2	0.0645	0.0739	IL5,MMP1
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2	0.0645	0.0739	SPP1,S100P
RUNX1	runt-related transcription factor 1	2	0.0706	0.0797	TIMP1,PF4
CREB1	cAMP responsive element binding protein 1	3	0.0756	0.0842	MUC5AC,IL6,PLAU
HNF4A	hepatocyte nuclear factor 4, alpha	2	0.0865	0.095	SERPINC1,MMP7
IRF1	interferon regulatory factor 1	2	0.107	0.116	IFNB1,IL12A
BRCA1	breast cancer 1, early onset	2	0.128	0.135	FST,AREG
WT1	Wilms tumor 1	2	0.128	0.135	HBEGF,AMH
PPARG	peroxisome proliferator-activated receptor gamma	2	0.162	0.169	GDF15,MMP1
E2F1	E2F transcription factor 1	3	0.181	0.185	IL1B,SERPINB5,TNFSF11
ESR1	estrogen receptor 1	2	0.201	0.204	AMH,MMP13
AR	androgen receptor	2	0.27	0.27	SERPINB5,IGFBP3
