phos_id,C3N.01799,C3L.01890,C3N.00572,C3N.02423,C3N.02729,C3L.00263,C3N.01410,C3N.00578,C3N.02587,C3L.00893,C3N.01488,C3N.01413,C3N.01030,C3N.02588,C3N.00552,C3L.01889,C3N.00169,C3L.00422,C3L.00083,C3N.00551,C3N.02089,C3L.01682,C3N.01016,C3N.00580,C3N.02000,C3N.01489,C3N.00737,C3N.01405,C3N.01416,C3N.02149,C3N.02424,C3L.00279,C3L.00095,C3N.02572,C3N.00559,C3L.02345,C3L.00093,C3L.00510,C3L.00913,C3L.00412,C3N.01415,C3N.00549,C3N.02433,C3N.01021,C3N.00203,C3L.01330,C3N.00574,C3N.01071,C3N.00550,C3N.00167,C3L.00001,C3L.01632,C3N.02155,C3N.00217,C3N.02002,C3N.02145,C3N.02586,C3L.02219,C3N.00180,C3N.00704,C3N.02158,C3N.02421,C3N.00556,C3N.01072,C3L.00094,C3L.00144,C3N.00223,C3L.01924,C3N.00433,C3L.01683,C3N.00293,C3N.02380,C3L.00009,C3N.00546,C3N.01414,C3N.02087,C3L.00140,C3N.02529,C3L.00368,C3N.02067,C3L.00080,C3N.00547,C3N.01023,C3N.01024,C3L.00973,C3L.02348,C3L.02508,C3N.00560,C3L.00604,C3N.00199,C3N.00579,C3N.02582,C3L.02350,C3N.00738,C3N.00959,C3N.02003,C3N.02379,C3N.00175,C3N.01823,C3L.02549,C3L.02365
NP_001339615.1_S532s _1_0_531_532,NA,NA,NA,NA,-0.6337000000000002,-0.8968999999999999,-4.1759,-4.5007,NA,NA,NA,NA,-3.0456,-3.5368,-3.3068,-3.0465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2765,-2.6333,-2.1775,-2.5048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47479999999999994,-0.8001,0.5259,-1.0184,-1.4913,-1.2157,-2.4623,-2.7711,-2.3169,-1.7446000000000002,-1.1878,-2.4611,-1.1378,-2.1787,-2.1036,-0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP_001339615.1_S566s _1_0_562_571,-1.8497,-2.0153999999999996,-1.9691,-1.5116,-0.9561999999999999,-0.7272,-2.8575,-2.4884,-2.4887,-0.10779999999999999,-2.3783000000000003,-0.1946,-0.7856,-3.8139000000000003,-0.9592,-1.5219,-2.4228,-1.6947,-1.8878,-1.7292999999999998,-2.5204,-1.6866,-2.8895999999999997,-2.265,-2.1459,-2.1008999999999998,-1.7805000000000002,-3.2545,-0.7014,-2.5857,-2.37,-0.5644,-1.6440000000000001,-3.2491,-3.2347,-3.8045999999999998,-2.3625,-3.2473,-2.4162999999999997,-1.9435,-1.9952999999999999,-1.3789,-0.7827999999999999,-1.0431,-2.846,-0.8643000000000001,-1.2967,-1.7613999999999999,-3.3935,-3.7636,-0.6868000000000001,-0.6968,1.5282,2.58,-0.8789,-0.7147,-1.5285,-0.5811999999999999,1.0909,NA,NA,NA,NA,-2.3066,-3.4431,-3.6333,-1.5291,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9270999999999999,-1.2369,-0.5901000000000001,-1.0788,NA,NA,NA,NA,-1.3811,-1.457,-0.24280000000000002,-0.7415,-2.9905,-3.4877000000000002,-2.5366,-3.1801000000000004,-1.9442,-1.7856,-0.8031999999999999,-0.9404,-2.8047,-1.8378,-2.8054,-1.2492,-1.8191
NP_001339615.1_S635s _1_1_635_635,-3.456,-6.2885,-4.0926,-4.2461,-0.7196000000000002,-2.0749999999999997,-5.6394,-4.8787,-4.4517,-0.6029000000000001,-5.3366999999999996,-2.7241999999999997,-3.0301,-4.2902000000000005,-1.7798,-2.9137,-4.4491,-4.013,-5.3028,-7.9544999999999995,-6.0984,-1.3561,-5.776,-5.1625,-3.329,-5.3429,-2.6283000000000003,-5.2184,-0.7280000000000002,-6.6891,-3.4421,-1.399,-1.7723000000000002,-3.2922,-5.7105,-5.8672,-3.3996,-4.6113,-4.0739,-2.4429000000000003,-4.1403,-4.4923,-1.0621,-1.9566,-6.7015,-2.1567,-4.3574,-4.0884,-4.1686,-4.5550999999999995,-0.9948999999999999,NA,NA,NA,NA,-1.6145,-2.9278,-2.9687,-4.7955000000000005,-3.2394,-3.6464999999999996,-0.7867,-3.8262,-3.3788,-4.5863,-4.318099999999999,-2.0846,NA,NA,NA,NA,NA,-2.4450000000000003,-6.9381,-2.2685,-5.2151,-3.9842,-3.2557,-2.3608000000000002,-3.3554,-3.1037,-5.2943999999999996,-6.636100000000001,-7.5929,-5.7780000000000005,-3.601,0.9967,-6.8427,-4.7468,-5.2217,-5.0075,-4.8171,-3.1206,-1.302,-2.7411000000000003,-3.6398,-4.667,-3.1628,-5.355700000000001,-5.2462,-4.1418
NP_001339615.1_S734s _1_1_734_734,NA,NA,NA,NA,-2.359,0.15350000000000003,-2.6649,-0.8515999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8378999999999999,-2.5422,-2.5476,-1.7897999999999998,NA,NA,NA,NA,NA,NA,NA,NA,-4.9429,-5.2256,-4.2409,NA,NA,NA,NA,-1.7590999999999999,-1.8565,-1.7932000000000001,-2.2112,-5.5916,-4.488099999999999,-6.472899999999999,-4.2137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7934,-3.2123,-2.551,-4.4411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6425,-4.5044,-0.7196,-2.9607,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5224,-3.2146999999999997,-1.7566,-1.2355
NP_001339615.1_S740s _1_1_740_740,-3.3683,-2.3385,-2.2506,-4.1059,0.5301,-2.4257,-5.262700000000001,-2.8554,-1.948,-2.7956000000000003,-3.9884,-4.0753,-2.2901,-1.9173,-1.5966,-2.5998,-1.5373999999999999,-1.1543999999999999,-1.0631,-2.1452,-2.4404,-0.2784,-1.8416000000000001,-1.1671,-1.7986,-1.9777,-3.8583,-4.9363,-1.2340999999999998,-6.1964,-1.8049,-1.9146999999999998,-1.0454999999999999,0.6432,-0.7032,-1.6581,-2.6497,-2.3956999999999997,-3.5176,-0.8897999999999999,-2.6526,-2.0879,-1.2428,-2.4760999999999997,-3.4489,-2.1923,-3.1833,-3.4779999999999998,-2.3663,-3.0375,-1.25,-2.3674,-5.2323,-5.1228,-2.5401,-4.0272,-1.1006,-4.2296,-2.6041000000000003,-3.7005,-5.5779,-0.1899,-3.5591,-2.9708,-2.7979000000000003,-1.5135999999999998,-1.5310000000000001,-4.4018,-3.2731000000000003,-1.4986,-0.9436,-2.1444,-1.0623,-5.2322,-2.8842999999999996,-3.6380999999999997,-3.447,-3.1983,-1.9514,-3.65,NA,NA,NA,NA,-4.2343,-3.6568,-1.7211,-4.9054,-2.4566,-1.6567,-0.8007,-3.8787000000000003,-3.4402999999999997,-1.1821,-3.8022,-1.5737,-2.7422,-2.3245,-2.3816,-1.9260000000000002,-2.1582999999999997
NP_001339615.1_T760t _1_0_756_760,-0.38649999999999995,-1.9281000000000001,-2.6102,-0.6172,-0.6717,-1.3191000000000002,-1.7296,-0.9721,-0.5776,-0.24959999999999993,-0.3445999999999999,-1.4939,NA,NA,NA,NA,-0.8612,0.9225999999999999,-0.9031,-0.9393,-1.0240999999999998,-0.9818,-1.3899000000000004,-0.27149999999999985,-2.3863,-2.002,-1.6557000000000002,-1.9083999999999999,-0.1005,-1.5089000000000001,-1.4569999999999999,0.4184,-0.8005999999999999,-1.6794,-1.6692,-3.096,-1.3117999999999999,-0.7618999999999999,-1.0011999999999999,0.18580000000000008,1.5716,0.1311,0.23359999999999997,1.4682,-3.8327,-0.43279999999999985,-2.0218,-3.1875999999999998,-0.4291,-1.8363,-0.6453,-2.506,-0.2165999999999999,-2.3314,-0.09930000000000005,-0.7786,-1.539,-2.4276,-0.5497,NA,NA,NA,NA,-0.8576999999999999,-2.2251,-1.6391,-0.8672,-2.652,-0.6921,-3.2724,0.1327,-2.7588,-1.0968,-2.2976,-1.3778,-1.2398,-0.0049000000000000155,-0.5179,-1.6534,-1.8609,NA,NA,NA,NA,NA,NA,NA,NA,-2.8911000000000002,-3.1891,-2.9133,-3.1767000000000003,-2.9476,1.1231,-0.5242,-1.2106,-0.9168999999999999,NA,NA,NA,NA
NP_001339615.1_S846s _1_1_846_846,0.5707,1.7484,-3.4946,-1.117,-1.7079,-1.7478000000000002,1.7003000000000001,2.9565,-3.4587999999999997,-0.021399999999999975,1.2858,-1.5428,-3.293,-0.10970000000000013,-3.793,-5.4423,2.3552999999999997,3.9423,1.8382,-2.6851000000000003,1.2523,-5.375100000000001,1.6039999999999999,-4.1934,-2.5722,0.8211,1.3971,-5.0321,-5.5411,-0.6236,-4.4689,-2.3032,0.2152,-3.4569,-1.0741,0.4857,-0.7788999999999999,2.9112,1.9589999999999999,0.14700000000000002,-0.4796,3.0557,-6.1919,-4.2436,-1.6508999999999998,-7.3937,-2.2920999999999996,0.6072000000000002,0.7275,-4.4429,-6.8682,-4.9108,2.2039,-2.8247999999999998,-5.6455,-2.8886999999999996,-6.1492000000000004,-2.815,-0.659,2.9370000000000003,-5.333200000000001,-6.3803,-4.0887,-1.7746999999999997,-0.5809,1.8633000000000002,-4.412,-4.8461,1.0413999999999999,3.1288,-7.771100000000001,-3.4231,-3.0617,-2.7641999999999998,-6.5028,-2.5594,4.6724,-2.4238999999999997,-2.8826,-4.2286,0.8157000000000001,1.8880000000000001,3.7262000000000004,-4.2506,3.4469,-5.9484,-0.1482,0.19920000000000004,-3.0539,-4.1464,-1.3061,-6.264799999999999,-2.6808,1.6961,-1.5016,-2.3422,-1.0729000000000002,-4.1712,3.6832000000000003,1.7839,-4.221400000000001
NP_001339615.1_S884s _1_1_884_884,3.0088000000000004,-5.0245,-0.48529999999999995,1.7521,1.5046,4.7696000000000005,-0.8865,-0.13199999999999995,2.19,1.4629,-0.44789999999999996,2.734,-1.0923,2.32,-0.035800000000000054,0.5784,-0.7267999999999999,1.3014999999999999,0.4579,-0.11430000000000007,2.2149,1.9716,-2.2979000000000003,-1.3216999999999999,6.4934,-1.0041,0.1785,1.4414,5.635,2.9864,4.890499999999999,5.8364,3.1451000000000002,1.5434,-2.1324,2.5539,4.8729,-0.6091,2.6733,0.2901,-0.6567,-0.22540000000000004,3.3156,0.018399999999999972,-1.5124000000000002,2.2214,-0.02859999999999996,6.0331,2.5613,-2.3163,1.5554999999999999,-0.16080000000000005,2.698,-0.09389999999999998,-0.9313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7947,3.5176,0.8599,3.5048999999999997,NA,NA,NA,NA,NA,NA,NA,NA,-1.6667,-0.9444,-0.12480000000000002,-2.9172000000000002,2.2707,2.0681,1.5842,2.8019,0.43310000000000004,NA,NA,NA,NA
NP_001339615.1_S888s _1_0_885_889,NA,NA,NA,NA,NA,NA,NA,NA,-1.9888999999999997,-0.5253000000000001,3.9626,3.0936000000000003,-2.7245,2.7512999999999996,2.0836,-1.6537000000000002,NA,NA,NA,NA,4.1975999999999996,1.0760999999999998,2.8907,0.5084999999999997,5.1028,2.4244000000000003,1.0805,3.1421,3.1917999999999997,2.5931,-0.1835,1.4241,NA,NA,NA,-0.32379999999999987,3.9377,-0.677,3.2663,0.6167,0.7605999999999997,2.1592,2.8476,2.5471,0.2815,-1.0882,2.2758,6.2551000000000005,4.323,-1.5158999999999998,-3.5151000000000003,-0.6029,3.2716000000000003,2.5162999999999998,1.0744,0.9668000000000001,1.6905000000000001,-0.5709000000000001,-0.9646,4.5061,1.1617000000000002,0.5985000000000003,-0.8222000000000003,1.1055000000000001,1.5663,-3.1561,3.9729,2.5361000000000002,7.197699999999999,2.1313,2.5299,2.0938000000000003,-2.6653000000000002,2.8192,3.8171,-0.7552999999999996,NA,NA,NA,NA,1.3779000000000001,1.5479,2.1179,-3.1792000000000002,6.0502,3.4726,2.091,0.5452,-0.771,0.03510000000000002,1.1613,-2.8223000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA
NP_001339615.1_S896s _1_0_895_896,1.2305000000000001,-2.2523999999999997,-1.8321999999999998,-0.8761,-1.0897999999999999,-0.20500000000000007,-1.858,-1.1187,-1.6316000000000002,0.7473000000000001,-1.4497,0.5285,-1.9498,-2.2648,-2.0008999999999997,-2.1386,-2.8295,-0.8236000000000001,0.20429999999999993,-4.190300000000001,-0.5214999999999999,0.6642999999999999,-1.9959,-3.2065,-1.8850000000000002,-0.9883,-1.7158000000000002,-2.0391,-1.0468,-3.5123,-2.2519,-2.1783,-0.17359999999999998,-1.3947,-4.5443,-3.4137,-2.105,-3.3197,-1.1182999999999998,-1.0266000000000002,-1.2512,-2.0943,-1.7151,-1.5594000000000001,-3.3296,-1.3955000000000002,-3.4766,-1.3879000000000001,-1.7271,-2.5787,-3.0564999999999998,-3.7386,-3.4603999999999995,-2.0271,-0.8803000000000001,-3.1244,-2.4082999999999997,-1.4391999999999998,-2.9658,-0.8962999999999999,-2.8771000000000004,-1.0211999999999999,-2.1321,-0.8318,-2.7584,-1.846,-0.11270000000000002,-2.0997,0.9293,-0.4042000000000001,-0.9995999999999999,-2.7309,-0.663,-1.7585,-1.529,-0.7235,-1.1915,-0.6209,-0.04289999999999994,-1.5533,-2.468,-1.8897,-2.5157000000000003,-4.1672,-1.1797,-1.2475,0.45470000000000005,-2.5923,-5.7439,-2.4617,-3.6932,-3.4455999999999998,-0.052899999999999725,0.4545000000000001,-1.0215,-1.9128,-2.6212,-1.0896,-2.4548,-2.4649,-3.6124
