,prize,Category,terminal,type,degree,betweenness,louvain_clusters,location,general_process,specific_process,general_function,specific_function
ATF4,3.7149,TF,True,protein,77,0.031049437695145662,2,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
GATA4,3.2692,TF,True,protein,28,0.0001910730166688509,4,nucleus,developmental process,anatomical structure development,binding,protein binding
TGM2,4.3133,ECM Regulators,True,protein,89,0.014305582045934571,7,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
BTRC,0.0,,False,protein,173,0.0033382856695006835,6,protein complex,cellular process,cellular response to stimulus,catalytic,transferase
DMBT1,0.0,,False,protein,7,0.009302325581395349,0,vesicle,response to stimulus,response to stress,binding,protein binding
FN1,0.0,,False,protein,754,0.14648887050618162,3,extracellular,cellular process,cellular component organization,binding,protein binding
EIF1B,0.0,,False,protein,168,0.010674063919051294,6,,biological regulation,regulation of biological process,binding,organic cyclic compound binding
REV1,0.0,,False,protein,18,0.0014679964716767854,5,nucleus,metabolic process,nitrogen compound metabolic process,binding,protein binding
CXCR2,0.0,,False,protein,22,0.009302325581395349,6,plasma_membrane,response to stimulus,response to chemical,molecular transducer,signaling receptor
CDC25A,0.0,,False,protein,57,0.0006342805717976602,1,nucleus,cellular process,cell cycle,binding,protein binding
GLI1,3.79835,TF,True,protein,24,0.0013226240896692114,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
ADAM9,5.3012,ECM Regulators,True,protein,13,0.0,1,plasma_membrane,response to stimulus,response to chemical,binding,protein binding
ITIH4,5.2502,ECM Regulators,True,protein,6,0.0,4,extracellular,response to stimulus,response to stress,molecular function regulator,enzyme regulator
ADAMTSL3,3.3069,ECM Regulators,True,protein,6,0.0,7,organelle,metabolic process,nitrogen compound metabolic process,binding,protein binding
ERG,3.61892,TF,True,protein,81,0.00033348104935413515,2,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
SOX2,3.0797,TF,True,protein,335,0.015723513840729463,0,nucleus,developmental process,anatomical structure development,binding,organic cyclic compound binding
CDK6,0.0,,False,protein,110,0.0194316403950974,0,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
FSTL1,3.0935,Secreted Factors,True,protein,14,0.028660349312523228,7,extracellular,cellular process,cell communication,binding,protein binding
SERPIND1,3.792100000000001,ECM Regulators,True,protein,3,0.0,3,extracellular,metabolic process,nitrogen compound metabolic process,molecular function regulator,enzyme regulator
VDR,3.5986,TF,True,protein,100,0.004679907641034106,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
CDH1,0.0,,False,protein,152,0.013815210145941793,0,plasma_membrane,cellular process,cellular component organization,binding,protein binding
EGFR,0.0,,False,protein,876,0.07809661346009546,0,endosome,biological regulation,regulation of biological process,binding,protein binding
SPP1,10.6365,ECM Glycoproteins,True,protein,81,0.0,3,extracellular,cellular process,cellular component organization,binding,protein binding
LUM,2.9469000000000003,Proteoglycans,True,protein,5,0.0,7,extracellular,cellular process,cellular component organization,binding,protein-containing complex binding
SEMA4B,5.7296,ECM-affiliated Proteins,True,protein,4,0.0,0,extracellular,cellular process,cellular developmental process,binding,protein binding
POSTN,4.5439,ECM Glycoproteins,True,protein,1,0.0,1,extracellular,response to stimulus,response to chemical,binding,protein binding
PCOLCE,0.0,,False,protein,17,0.022365211713493927,7,extracellular,multicellular organismal process,multicellular organism development,binding,protein binding
MYB,3.0459333333333336,TF,True,protein,72,0.01124125082671237,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
ARHGEF11,0.0,,False,protein,24,0.005094157424100786,0,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
SEMA7A,0.0,,False,protein,5,0.009708936038859315,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
HDAC3,0.0,,False,protein,204,0.02059934875511613,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
ADAM17,4.9406,ECM Regulators,True,protein,23,0.0021685947913323935,1,plasma_membrane,biological regulation,regulation of biological process,catalytic,hydrolase
ZNF148,3.1111500000000003,TF,True,protein,22,0.004039906144069572,7,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
NRG1,3.752,Secreted Factors,True,protein,8,0.0,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
NFIC,3.0757666666666665,TF,True,protein,16,0.0,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
DNMT3A,3.761933333333333,TF,True,protein,52,0.0005844880323856788,6,nucleus,cellular process,cellular response to stimulus,binding,protein binding
CXCL8,0.0,,False,protein,20,0.018517713540534667,6,extracellular,cellular process,cellular response to stimulus,binding,protein binding
PIAS3,0.0,,False,protein,55,0.010939042058337116,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
PCNA,0.0,,False,protein,253,0.03516240228694816,5,nucleus,cellular process,cellular response to stimulus,binding,protein binding
SEMA4C,2.2739,ECM-affiliated Proteins,True,protein,12,0.00022096663401011227,7,vesicle,cellular process,cellular developmental process,binding,protein binding
AR,0.0,,False,protein,329,0.053849560940312804,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
PRKCD,0.0,,False,protein,80,0.006982436676794176,0,vesicle,biological regulation,regulation of biological process,catalytic,transferase
S100A9,6.3713,Secreted Factors,True,protein,74,0.0,7,extracellular,cellular process,cellular response to stimulus,binding,protein binding
ANGPTL2,3.1404,Secreted Factors,True,protein,1,0.0,0,extracellular,multicellular organismal process,multicellular organism development,binding,protein binding
PLXNB3,0.0,,False,protein,12,0.009705466634814463,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
NCOA3,3.6752,TF,True,protein,108,0.016900473896412773,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
S100A1,0.0,,False,protein,26,0.009754738015607582,5,ER,biological regulation,regulation of biological process,binding,protein binding
FLI1,3.754033333333333,TF,True,protein,21,0.0012715979580840704,4,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
COL3A1,4.7726,Collagens,True,protein,15,0.004766974559926441,7,extracellular,cellular process,cellular component organization,binding,protein binding
IGFBP3,3.2376000000000005,ECM Glycoproteins,True,protein,39,0.018330414266899134,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
POLH,0.0,,False,protein,20,0.0,5,nucleus,response to stimulus,response to stress,binding,protein binding
HDAC2,3.3591999999999995,TF,True,protein,295,0.016465610733098778,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
COL6A2,2.3313,Collagens,True,protein,7,0.0,2,extracellular,cellular process,cellular component organization,structural molecule,extracellular matrix structural constituent
CAND1,0.0,,False,protein,631,0.020201350535521367,7,protein complex,cellular process,cellular component organization,binding,protein binding
PHB,0.0,,False,protein,105,0.006955293601824155,5,mitochondria,biological regulation,regulation of biological process,binding,protein binding
PRELP,2.8062,Proteoglycans,True,protein,7,0.0,7,extracellular,cellular process,cellular developmental process,structural molecule,extracellular matrix structural constituent
ADAM10,3.3873,ECM Regulators,True,protein,25,0.0246117333706965,1,plasma_membrane,cellular process,cell communication,catalytic,hydrolase
VCAN,4.5334,Proteoglycans,True,protein,26,0.0020961832286416644,7,extracellular,cellular process,cell recognition,binding,protein binding
LTBP1,4.4483,ECM Glycoproteins,True,protein,12,0.0031636221935440333,7,extracellular,cellular process,cell communication,binding,protein binding
LEF1,4.05955,TF,True,protein,46,0.004964627111150658,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
MAPK1,0.0,,False,protein,277,0.03489408898885071,4,plasma_membrane,biological regulation,regulation of biological process,catalytic,transferase
S100P,3.3979,Secreted Factors,True,protein,20,0.01266128994668571,5,plasma_membrane,cellular process,cell activation,binding,protein binding
YY1,3.0348,TF,True,protein,118,0.0028954229025638686,6,nucleus,cellular process,cellular response to stimulus,binding,organic cyclic compound binding
NRIP1,0.0,,False,protein,62,0.0013582978181613848,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
REL,3.398425,TF,True,protein,226,0.047710610961357855,1,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
FOSL1,4.252750000000001,TF,True,protein,31,0.009030209512973427,2,nucleus,response to stimulus,response to external stimulus,transcription regulator,DNA-binding transcription factor
RXRA,0.0,,False,protein,124,0.009344571995732256,4,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
S100A13,4.003,Secreted Factors,True,protein,14,0.0020126802863166854,5,extracellular,cellular process,secretion by cell,binding,protein binding
GNAQ,0.0,,False,protein,64,0.00870036680664498,3,lysosome,biological regulation,regulation of biological process,binding,protein binding
UHRF1,0.0,,False,protein,36,0.0024412852662130933,1,,cellular process,cellular component organization,binding,protein binding
TFAP2C,0.0,,False,protein,82,0.012482468442140722,3,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
SELL,0.0,,False,protein,17,0.017908867778115813,7,vesicle,immune system process,leukocyte migration,binding,protein binding
MMP2,0.0,,False,protein,43,0.04098570617982583,7,extracellular,cellular process,cellular response to stimulus,catalytic,hydrolase
VTN,2.4134,ECM Glycoproteins,True,protein,90,0.014307074453932103,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
HIF1A,3.02032,TF,True,protein,136,0.015137546473199457,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
ANXA1,4.2659,ECM-affiliated Proteins,True,protein,63,0.0005694754794145694,7,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
PLXNB1,2.1002,ECM-affiliated Proteins,True,protein,21,0.009705466634814464,0,plasma_membrane,biological regulation,regulation of biological process,molecular transducer,signaling receptor
KNG1,2.8645,ECM Regulators,True,protein,29,0.0008250788026842653,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
MAZ,4.514849999999999,TF,True,protein,8,0.0,2,nucleus,metabolic process,nitrogen compound metabolic process,binding,organic cyclic compound binding
ETS1,3.3470846153846154,TF,True,protein,95,0.002074571049897358,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
RARA,3.07416,TF,True,protein,138,0.002924372738051297,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
FOXM1,5.4421,TF,True,protein,33,5.364932094381134e-05,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
PLG,3.8938,ECM Regulators,True,protein,66,0.06938688316029261,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
JUN,3.67698,TF,True,protein,244,0.045990470566797295,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
ANXA6,2.1935,ECM-affiliated Proteins,True,protein,30,0.0,5,vesicle,cellular process,cellular component organization,binding,protein binding
SERPINC1,2.8205,ECM Regulators,True,protein,6,0.010177463438333005,7,extracellular,biological regulation,regulation of biological quality,binding,protein binding
PPP1R8,0.0,,False,protein,31,5.117647696064972e-05,5,nucleus,metabolic process,nitrogen compound metabolic process,binding,organic cyclic compound binding
PARP2,0.0,,False,protein,67,0.011250587498473998,1,nucleus,cellular process,cellular response to stimulus,catalytic,transferase
TRAPPC2L,0.0,,False,protein,22,0.009615384615384616,1,cytoplasm,cellular process,cellular component organization,binding,protein binding
SFTPA1,3.7675,ECM-affiliated Proteins,True,protein,6,0.0,7,extracellular,immune system process,immune effector process,binding,protein binding
SPOCK2,5.8532,Proteoglycans,True,protein,3,0.0,0,extracellular,biological regulation,regulation of biological process,binding,ion binding
POU5F1,3.920525000000001,TF,True,protein,29,0.0002740361982693005,0,cytoplasm,developmental process,maintenance of cell number,binding,organic cyclic compound binding
BATF,0.0,,False,protein,26,0.009798840306065005,2,nucleus,cellular process,cellular developmental process,transcription regulator,DNA-binding transcription factor
SRF,3.0008,TF,True,protein,77,0.0031643258225471844,4,nucleus,developmental process,anatomical structure development,binding,protein binding
ELK1,2.7407,TF,True,protein,38,0.012698078345295733,4,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
TNC,6.7182,ECM Glycoproteins,True,protein,14,0.0,7,extracellular,cellular process,cellular component organization,binding,protein binding
HSPG2,0.0,,False,protein,39,0.021372351622119784,7,extracellular,metabolic process,organic substance metabolic process,binding,protein binding
IRF3,3.6019499999999995,TF,True,protein,55,0.011375223508790078,7,nucleus,biological regulation,regulation of biological process,binding,protein binding
JUND,3.723675,TF,True,protein,44,0.0031253209711725426,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
COMMD1,0.0,,False,protein,49,0.0075879067648641696,6,protein complex,biological regulation,regulation of biological process,binding,ion binding
COL17A1,3.7698,Collagens,True,protein,12,0.0,0,plasma_membrane,cellular process,cellular component organization,binding,protein binding
FOS,3.853171428571428,TF,True,protein,176,0.030543214227345412,2,nucleus,response to stimulus,response to chemical,binding,protein binding
ANXA2,4.3064,ECM-affiliated Proteins,True,protein,98,0.014906208922970598,6,vesicle,biological regulation,regulation of biological process,binding,protein binding
MAD2L2,0.0,,False,protein,34,0.013186704513533683,1,cytoskeleton,biological regulation,regulation of biological process,binding,protein binding
SPARCL1,3.831,ECM Glycoproteins,True,protein,7,0.00041021736437615457,2,extracellular,cellular process,cell communication,binding,protein binding
PLXNB2,2.9111,ECM-affiliated Proteins,True,protein,16,9.008201942984552e-05,0,extracellular,biological regulation,regulation of biological process,binding,protein binding
RELA,3.2784793103448275,TF,True,protein,355,0.0771864527403862,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
NFKBIA,3.90394,TF,True,protein,128,0.0030597527799666874,6,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
STAT3,3.3740499999999995,TF,True,protein,213,0.04737816510929408,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
MMP14,0.0,,False,protein,33,0.0020550162727561126,7,plasma_membrane,metabolic process,nitrogen compound metabolic process,catalytic,hydrolase
SERPINA10,2.143,ECM Regulators,True,protein,3,0.0,4,extracellular,metabolic process,nitrogen compound metabolic process,binding,ion binding
CREBBP,0.0,,False,protein,342,0.03463254704497812,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
CTNNB1,3.8792,TF,True,protein,363,0.03353195279265843,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
HDAC4,3.7275,TF,True,protein,140,0.028964296724236453,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
PPP1CA,0.0,,False,protein,309,0.02393408019928154,4,nucleus,cellular process,cellular component organization,binding,protein binding
MECP2,3.4379,TF,True,protein,40,0.0005649726891926084,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
COL6A3,2.808,Collagens,True,protein,4,0.006549380213136626,1,extracellular,cellular process,cellular component organization,structural molecule,extracellular matrix structural constituent
SPI1,2.906085714285714,TF,True,protein,50,0.00472098080111459,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
GATA6,2.45345,TF,True,protein,9,0.00015356746561079202,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
AGRN,3.4339,ECM Glycoproteins,True,protein,7,0.0,1,extracellular,cellular process,cellular component organization,binding,protein binding
ZFP91,2.5085,Secreted Factors,True,protein,9,0.0,2,nucleus,cellular process,cell communication,catalytic,transferase
TGFB1,0.0,,False,protein,89,0.07908456392095732,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
CTSD,4.4154,ECM Regulators,True,protein,29,0.0,7,vesicle,immune system process,immune effector process,catalytic,hydrolase
CTF1,4.1884,Secreted Factors,True,protein,5,0.0,4,extracellular,biological regulation,regulation of biological process,binding,protein binding
IRF9,0.0,,False,protein,22,0.005992033856166293,6,nucleus,cellular process,cell communication,transcription regulator,DNA-binding transcription factor
FGB,3.4213,ECM Glycoproteins,True,protein,21,0.0379041248606466,3,extracellular,biological regulation,regulation of biological process,binding,protein binding
STUB1,0.0,,False,protein,244,0.02256429038294453,0,protein complex,cellular process,cellular response to stimulus,binding,protein binding
NFIL3,2.908,TF,True,protein,17,0.0,2,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
CEBPA,4.028700000000001,TF,True,protein,109,0.005264722781323404,2,nucleus,cellular process,cellular developmental process,binding,protein binding
IGBP1,0.0,,False,protein,113,0.03690918216726089,5,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
NFKB1,3.2600607142857143,TF,True,protein,169,0.027926993773252792,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
POU2F2,4.779,TF,True,protein,14,0.0,6,nucleus,cellular process,cellular developmental process,transcription regulator,DNA-binding transcription factor
XBP1,4.11245,TF,True,protein,27,0.00029742853042741556,6,ER,biological regulation,regulation of biological process,binding,protein binding
CHRDL1,2.4312,Secreted Factors,True,protein,2,0.0,7,ER,cellular process,cell communication,,
ARNT,0.0,,False,protein,43,1.9979942638805516e-05,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
CDX2,3.7306,TF,True,protein,15,0.0,4,nucleus,developmental process,anatomical structure development,transcription regulator,DNA-binding transcription factor
KLF5,3.83735,TF,True,protein,27,0.0001735909905843921,6,nucleus,cellular process,cell communication,binding,protein binding
F9,4.6693,ECM Regulators,True,protein,5,0.0,7,extracellular,metabolic process,nitrogen compound metabolic process,catalytic,hydrolase
SMAD3,2.932,TF,True,protein,363,0.1369776548718505,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
CREB1,3.3922833333333333,TF,True,protein,105,0.006048397261879877,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
F2,0.0,,False,protein,19,0.019184318097361576,3,extracellular,biological regulation,regulation of biological process,binding,protein binding
NR3C1,4.569833333333333,TF,True,protein,200,0.0360656470955597,6,nucleus,cellular process,cellular response to stimulus,binding,organic cyclic compound binding
POU2F1,3.616225,TF,True,protein,60,0.003847740983292695,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
SP1,4.1090125,TF,True,protein,258,0.04989069299962378,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
CDH5,0.0,,False,protein,25,0.0018877539113727347,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
LAMA1,0.0,,False,protein,19,0.00366371030270849,7,extracellular,cellular process,cellular component organization,binding,protein binding
SAP30,0.0,,False,protein,38,1.000926572026676e-05,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
HDAC5,2.6257,TF,True,protein,341,0.014818990280921254,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
CLEC4A,5.7198,ECM-affiliated Proteins,True,protein,1,0.0,0,plasma_membrane,immune system process,antigen processing and presentation,binding,carbohydrate binding
SNAI1,2.4616,TF,True,protein,51,0.031403301102425146,7,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
DNMT1,3.621,TF,True,protein,77,0.0024637895245594866,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
STAT2,0.0,,False,protein,27,0.0010286163812883288,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
GLI2,3.11085,TF,True,protein,9,0.0007471190489878514,6,nucleus,developmental process,anatomical structure development,binding,protein binding
SDC2,6.3627,ECM-affiliated Proteins,True,protein,35,0.014761795269277424,7,lysosome,cellular process,movement of cell or subcellular component,binding,protein binding
ZFP36,4.8546,TF,True,protein,38,0.0,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
RB1,0.0,,False,protein,245,0.023138589799231182,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
CEBPB,4.261933333333333,TF,True,protein,88,0.0150995989427566,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
FGA,5.5315,ECM Glycoproteins,True,protein,20,0.028567447045707916,3,extracellular,biological regulation,regulation of biological process,binding,protein binding
SIRT1,3.499433333333333,TF,True,protein,217,0.010215314675523304,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
TIMP2,0.0,,False,protein,28,0.0,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
NR1I2,2.8561,TF,True,protein,35,0.0,6,nucleus,cellular process,cellular response to stimulus,transcription regulator,DNA-binding transcription factor
E2F1,3.52035,TF,True,protein,127,0.009695875560120207,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
SERPINA1,3.2009,ECM Regulators,True,protein,36,0.0,7,extracellular,cellular process,secretion by cell,binding,protein binding
CHEK1,0.0,,False,protein,71,0.0011815105515976653,0,nucleus,cellular process,cellular response to stimulus,catalytic,transferase
EMCN,8.4423,ECM-affiliated Proteins,True,protein,2,0.0,7,plasma_membrane,,,,
THBS2,2.0980000000000003,ECM Glycoproteins,True,protein,3,0.0,7,endomembrane,biological regulation,regulation of biological process,binding,protein binding
GRB2,0.0,,False,protein,705,0.14811008277991472,0,nucleus,cellular process,cell communication,binding,protein binding
NOTCH2NL,0.0,,False,protein,244,0.011057982414587756,7,extracellular,cellular process,cell communication,binding,protein binding
ETS2,3.3521666666666663,TF,True,protein,25,0.005841828014648139,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
SPDEF,5.05345,TF,True,protein,4,0.0,4,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
MAF,3.7275,TF,True,protein,25,0.0019974915526016824,2,nucleus,cellular process,cellular developmental process,transcription regulator,DNA-binding transcription factor
HDAC1,4.6499500000000005,TF,True,protein,476,0.08236752171549365,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
ELFN2,6.6166,ECM-affiliated Proteins,True,protein,1,0.0,4,extracellular,biological regulation,regulation of biological process,molecular function regulator,enzyme regulator
FOSL2,3.19485,TF,True,protein,22,0.0003695779298610323,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
LTBP2,5.1604,ECM Glycoproteins,True,protein,5,0.0005485252895054434,7,extracellular,cellular process,cell communication,binding,protein binding
ETV4,4.290033333333334,TF,True,protein,14,0.001786958498608362,4,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
FBLN2,3.2854,ECM Glycoproteins,True,protein,24,0.003679326431856592,7,extracellular,biological regulation,regulation of biological process,structural molecule,extracellular matrix structural constituent
ING4,4.47775,TF,True,protein,27,0.0016510051917933263,4,nucleus,cellular process,cellular component organization,binding,protein binding
CEBPE,2.8103,TF,True,protein,49,0.0058062497984511215,2,nucleus,cellular process,cellular developmental process,binding,protein binding
PRG4,2.7464,Proteoglycans,True,protein,1,0.0,0,extracellular,cell proliferation,,structural molecule,extracellular matrix structural constituent
AHR,4.7411666666666665,TF,True,protein,40,0.00040841497276820064,0,nucleus,cellular process,cellular response to stimulus,binding,protein binding
NCOA1,0.0,,False,protein,76,0.00662421978181479,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
PPBP,2.5057,Secreted Factors,True,protein,23,0.0,1,endomembrane,response to stimulus,response to external stimulus,transporter,transmembrane transporter
MXRA5,3.9434,ECM Glycoproteins,True,protein,1,0.0,6,extracellular,response to stimulus,response to endogenous stimulus,,
MFAP1,2.0423,ECM Glycoproteins,True,protein,59,0.0013299060423755285,1,extracellular,,,binding,protein binding
ABL1,0.0,,False,protein,320,0.03300897429266111,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
NKX2-1,3.42065,TF,True,protein,21,0.012394134516540827,6,nucleus,developmental process,anatomical structure development,binding,organic cyclic compound binding
EP300,3.47292,TF,True,protein,467,0.19834496813085667,4,nucleus,biological regulation,regulation of biological process,binding,protein binding
PDIA3,0.0,,False,protein,88,0.03733211111912834,1,plasma_membrane,cellular process,protein folding,catalytic,oxidoreductase
CITED2,0.0,,False,protein,12,0.0023334736894781768,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
MEPE,2.0616,ECM Glycoproteins,True,protein,9,0.0012356963156195894,0,extracellular,metabolic process,nitrogen compound metabolic process,binding,protein binding
EGLN1,2.406,ECM Regulators,True,protein,23,3.348870036849577e-05,4,cytoplasm,biological regulation,regulation of biological process,catalytic,oxidoreductase
ATF2,3.0780000000000003,TF,True,protein,208,0.047681577963182224,2,mitochondria,biological regulation,regulation of biological process,binding,protein binding
HGF,0.0,,False,protein,20,0.014498772653442743,7,vesicle,biological regulation,regulation of biological process,binding,protein binding
STAT6,4.141925,TF,True,protein,64,0.009405812758851821,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
IL16,5.2818000000000005,Secreted Factors,True,protein,32,0.0,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
JUNB,3.1932500000000004,TF,True,protein,51,0.0013281163735697913,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
CIITA,3.49935,TF,True,protein,27,0.0003541392503373606,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
SP3,2.814216666666667,TF,True,protein,33,0.0006950119764252314,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
ERBB3,0.0,,False,protein,75,0.010200404528446097,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
FYN,0.0,,False,protein,294,0.01834433295906382,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
IGF1,0.0,,False,protein,17,0.0008721003306995742,7,protein complex,biological regulation,regulation of biological process,binding,protein binding
PPP1R13L,0.0,,False,protein,11,0.001147496996603933,4,nucleus,multicellular organismal process,multicellular organism development,binding,protein binding
DISC1,0.0,,False,protein,122,0.011311083020900276,2,cytoskeleton,cellular process,cellular component organization,binding,protein binding
DNMT3L,0.0,,False,protein,12,0.0,6,cytoplasm,cellular process,cellular process involved in reproduction in multicellular organism,binding,protein binding
MAFB,0.0,,False,protein,18,0.0009213987206234755,2,nucleus,multicellular organismal process,multicellular organism development,binding,protein binding
MAD2L1,0.0,,False,protein,47,0.0017751657558811018,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
STK11,0.0,,False,protein,113,0.01271129773387399,4,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
HOXA10,0.0,,False,protein,15,0.0008857079263212222,0,nucleus,multicellular organismal process,multicellular organism development,binding,protein binding
