protein1,protein2,in_solution,cost
CDC27,MAD2L2,,0.598835
CDC27,CDH1,True,0.0697257
CDC27,CREBBP,,0.410771
CDC27,GRB2,,0.598835
CDC27,E2F1,,0.598835
CDC27,MAD2L1,True,0.0433628
CDC27,RB1,,0.302002
CDC27,SMAD3,,0.598835
CDC27,CTNNB1,,0.561127
CDH1,MAD2L2,,0.45648
CDH1,HDAC2,,0.358614
CDH1,CREBBP,,0.598835
CDH1,EP300,,0.598835
CDH1,HDAC1,,0.501461
CDH1,CTNNB1,True,0.00993603
CDH1,GALNT12,,0.63215
SPP1,PARP1,,0.598835
SPP1,MEOX2,True,0.443583
SPP1,EPAS1,True,0.594442
MAD2L1,MAD2L2,,0.474993
MAD2L1,ADAM17,True,0.233589
MAD2L1,MAD1L1,True,0.0390978
MAD2L1,REV3L,,0.493869
MUC5AC,GALNT12,True,0.561127
MYB,PARP1,,0.598835
MYB,CEBPB,,0.654948
MYB,SUMO1,,0.286822
MYB,GATA3,,0.598835
MYB,CREBBP,True,0.0804
MYB,EP300,,0.226952
MYB,MAF,True,0.458237
HDAC3,ESR1,,0.472309
HDAC3,PARP1,,0.45648
HDAC3,HDAC4,True,0.0835209
HDAC3,RARA,,0.561127
HDAC3,NFKB1,,0.472309
HDAC3,NFKBIA,,0.520073
HDAC3,SUMO1,,0.598835
HDAC3,GATA3,,0.598835
HDAC3,CREBBP,,0.449051
HDAC3,JUN,,0.585069
HDAC3,PPARD,,0.391484
HDAC3,STAT3,,0.298244
HDAC3,RUNX1,,0.332937
HDAC3,RELA,,0.344359
HDAC3,EP300,,0.220473
HDAC3,HIF1A,,0.323872
HDAC3,HDAC1,,0.794225
HDAC3,IL16,True,0.45648
HDAC3,RXRA,,0.561127
HDAC3,SRF,,0.598835
HDAC3,WISP2,,0.561127
HDAC3,SAP30,,0.598835
HDAC3,RB1,,0.292407
HDAC3,CEBPD,,0.391484
HDAC3,SPI1,,0.598835
HDAC3,SP1,,0.598835
ADAM17,MAD2L2,,0.830932
CXCL8,RELA,,0.598835
CXCL8,EP300,True,0.45648
MEOX2,RELA,,0.598835
MEOX2,ADAMTS12,True,0.443583
MEOX2,SMAD3,,0.443583
MEOX2,EFEMP2,,0.443583
MEOX2,FUT11,True,0.443583
MEOX2,TGFB1,,0.443583
MEOX2,KRTAP10-8,,0.443583
NFIC,PARP1,True,0.598835
NFIC,CREBBP,,0.85922
NFIC,SMAD3,True,0.598835
KDR,CDH5,,0.402371
KDR,GREM1,True,0.45648
KDR,GRB2,,0.520073
KDR,HSPG2,True,0.227975
KDR,CTNNB1,,0.85922
KDR,ANXA5,,0.425632
KDR,PDGFRB,,0.598835
PRKCD,STAT3,,0.45648
PRKCD,EP300,,0.561127
PRKCD,FLI1,,0.45648
PRKCD,SPI1,,0.598835
PRKCD,SP1,,0.363275
FLI1,SUMO1,,0.594442
FLI1,SRF,True,0.561127
FLI1,SMAD3,,0.594442
COL3A1,SP1,True,0.598835
COL3A1,PDGFB,True,0.441963
IGFBP3,LTBP1,True,0.763579
IGFBP3,MMP2,,0.85922
IGFBP3,RXRA,True,0.414959
IGFBP3,COL1A1,True,0.38655
IGFBP3,FBN1,,0.598835
IGFBP3,IGF1,True,0.0968975
IGFBP3,IGF2,True,0.198617
HDAC2,ESR1,,0.410771
HDAC2,PARP1,,0.332937
HDAC2,CREB1,,0.410771
HDAC2,RARA,,0.378985
HDAC2,NFKB1,,0.598835
HDAC2,NFKBIA,,0.598835
HDAC2,SERPINH1,,0.598835
HDAC2,SUMO1,,0.598835
HDAC2,CREBBP,,0.410771
HDAC2,RUNX3,,0.830932
HDAC2,SNAI2,,0.598835
HDAC2,PPARD,,0.598835
HDAC2,STAT3,,0.598835
HDAC2,CIITA,True,0.243823
HDAC2,RUNX1,,0.410771
HDAC2,RELA,,0.0633982
HDAC2,HIF1A,,0.561127
HDAC2,HDAC1,,0.0145919
HDAC2,SAP30,True,0.0670981
HDAC2,RB1,,0.125992
HDAC2,SP3,,0.298244
HDAC2,CEBPA,,0.598835
HDAC2,SP1,,0.0581152
HDAC2,SIRT1,,0.598835
HDAC2,MAF,,0.598835
HDAC2,MAD1L1,,0.501461
PRELP,HSPG2,True,0.549451
PRELP,COL1A1,True,0.549451
PRELP,NID1,,0.85922
PPARD,HDAC4,,0.561127
PPARD,NCOA1,,0.393241
PPARD,RELA,,0.598835
PPARD,EP300,,0.561127
PPARD,HDAC1,,0.332937
PPARD,RXRA,True,0.216142
PPARD,CTNNB1,,0.598835
PPARD,RXRG,True,0.407758
GATA3,HDAC4,,0.598835
GATA3,ETS2,,0.830932
GATA3,ETS1,,0.830932
GATA3,SPI1,True,0.561127
GATA3,SP1,True,0.45648
VCAN,ITGA4,True,0.85922
VCAN,FBLN1,,0.85922
VCAN,SELL,True,0.561127
VCAN,FBN1,True,0.561127
LTBP1,FBN1,,0.830932
LTBP1,TGFB1,True,0.358476
REL,MAD2L2,True,0.392016
REL,TBP,,0.549451
REL,NFKB1,,0.318828
REL,NFKBIA,True,0.298244
REL,CREBBP,,0.45648
REL,RELA,,0.118504
REL,GRB2,,0.443583
REL,EP300,,0.289938
REL,HDAC1,,0.73224
REL,SRF,,0.561127
REL,SP1,,0.561127
REL,ASAP3,True,0.443583
REL,FUT11,True,0.392016
HOXB7,PARP1,True,0.45648
HOXB7,NFKBIA,True,0.561127
HOXB7,CREBBP,,0.283617
HOXB7,EP300,,0.830932
RXRA,ESR1,,0.561127
RXRA,PPARA,True,0.121151
RXRA,PARP1,,0.85922
RXRA,POU2F2,,0.561127
RXRA,HDAC4,,0.561127
RXRA,TBP,,0.413127
RXRA,RARA,,0.0237706
RXRA,NFKB1,,0.549451
RXRA,SUMO1,,0.598835
RXRA,POU2F1,,0.370243
RXRA,NCOA1,,0.0571239
RXRA,RELA,,0.391484
RXRA,EP300,,0.598835
RXRA,SRF,,0.73985
RXRA,CTNNB1,,0.410771
RXRA,FUS,,0.538056
RXRA,SP1,,0.391484
FOSL1,ATF2,,0.484455
FOSL1,CREBBP,,0.598835
FOSL1,JUN,True,0.10104
FOSL1,JUND,,0.85922
FOSL1,EP300,,0.391484
FOSL1,HDAC1,,0.598835
FOSL1,JUNB,,0.251916
FOSL1,CEBPA,,0.561127
FOSL1,MAF,,0.561127
SELL,EMCN,True,0.598835
SELL,GRB2,,0.598835
MMP2,THBS2,True,0.472754
MMP2,COL1A1,True,0.561127
MMP2,TGFB1,,0.391484
HIF1A,ESR1,,0.598835
HIF1A,PARP1,,0.598835
HIF1A,HDAC4,True,0.249941
HIF1A,SUMO1,,0.159843
HIF1A,EGLN1,True,0.11093
HIF1A,CREBBP,,0.0440061
HIF1A,JUN,,0.410771
HIF1A,NCOA1,,0.561127
HIF1A,STAT3,,0.410771
HIF1A,RELA,,0.598835
HIF1A,EP300,True,0.0109625
HIF1A,HDAC1,,0.138546
HIF1A,CITED2,,0.85922
HIF1A,RB1,,0.419206
HIF1A,SMAD3,,0.316224
HIF1A,CTNNB1,,0.598835
HIF1A,EPAS1,,0.598835
HIF1A,SP1,,0.233609
PARP1,ESR1,,0.410771
PARP1,RARA,,0.585069
PARP1,NFKB1,,0.305598
PARP1,SUMO1,,0.298244
PARP1,POU2F1,,0.73985
PARP1,CREBBP,,0.561127
PARP1,JUN,,0.598835
PARP1,ITGA4,,0.598835
PARP1,RELA,,0.243823
PARP1,EP300,,0.114078
PARP1,E2F1,,0.300183
PARP1,HDAC1,,0.243823
PARP1,FOXO1,,0.45648
PARP1,CTNNB1,,0.598835
PARP1,CEBPA,,0.397933
PARP1,PARP2,True,0.598835
PARP1,SP1,,0.45648
PARP1,SIRT1,,0.388868
GALNT12,RB1,,0.63215
MAZ,JUN,True,0.45648
MAZ,FOS,True,0.45648
ETS1,NFKB1,,0.598835
ETS1,ATF2,,0.561127
ETS1,CREBBP,,0.17137
ETS1,JUN,True,0.376967
ETS1,ETS2,True,0.542247
ETS1,JUND,,0.598835
ETS1,RUNX1,,0.561127
ETS1,EP300,,0.432548
ETS1,SMAD3,,0.598835
ETS1,FOS,,0.85922
ETS1,SPI1,,0.561127
ETS1,EPAS1,,0.598835
ETS1,STAT6,,0.85922
ETS1,SP1,,0.85922
ETS1,MAF,,0.561127
RARA,ESR1,,0.674854
RARA,HDAC4,,0.561127
RARA,SUMO1,,0.291014
RARA,POU2F1,,0.549451
RARA,CREBBP,,0.410771
RARA,NCOA1,True,0.0489447
RARA,RUNX1,,0.598835
RARA,EP300,,0.410771
RARA,E2F1,,0.45648
RARA,HDAC1,,0.561127
RARA,FOXO1,,0.538056
RARA,CEBPA,,0.45648
RARA,SPI1,,0.537305
RARA,SP1,,0.227185
RARA,SIRT1,,0.45648
RARA,RXRG,True,0.123848
JUN,ESR1,,0.391484
JUN,CREB1,,0.598835
JUN,TBP,,0.281525
JUN,SUMO1,,0.277056
JUN,ATF2,,0.0471359
JUN,CREBBP,,0.0679733
JUN,NCOA1,,0.24053
JUN,STAT3,,0.45648
JUN,ETS2,True,0.413127
JUN,JUND,,0.85922
JUN,RUNX1,,0.323872
JUN,SMAD4,,0.85922
JUN,RELA,,0.594442
JUN,EP300,,0.0492886
JUN,ETV4,True,0.594442
JUN,HDAC1,,0.598835
JUN,FOSL2,True,0.457787
JUN,JUNB,,0.85922
JUN,ELF3,,0.85922
JUN,RB1,,0.261191
JUN,SMAD3,,0.123965
JUN,FOS,True,0.00972444
JUN,CEBPA,,0.598835
JUN,SPI1,,0.484455
JUN,EPAS1,,0.561127
JUN,STAT6,,0.598835
JUN,SP1,,0.243823
JUN,SIRT1,,0.243823
JUN,MAF,,0.830932
JUN,EGR1,,0.830932
JUN,CBFB,,0.598835
PARP2,CHRDL1,True,0.561127
PARP2,CTNNB1,,0.561127
SFTPA1,TLR2,True,0.85922
FUS,ESR1,,0.598835
FUS,ITGA4,,0.598835
FUS,RELA,,0.45648
FUS,GRB2,,0.598835
FUS,EP300,,0.409355
FUS,MFGE8,True,0.598835
FUS,CTNNB1,,0.472754
FUS,ANXA5,,0.598835
FUS,SPI1,True,0.397426
POU5F1,SUMO1,,0.598835
POU5F1,ETS2,True,0.45648
POU5F1,WWP2,True,0.289938
POU5F1,HMGB2,,0.598835
SRF,CREB1,,0.765937
SRF,HDAC4,,0.45648
SRF,NFKB1,,0.561127
SRF,CEBPB,True,0.277056
SRF,SUMO1,,0.598835
SRF,CREBBP,,0.33141
SRF,RELA,,0.561127
SRF,ETV4,,0.85922
SRF,SP1,,0.561127
SRF,RXRG,,0.561127
HSPG2,GRB2,,0.598835
HSPG2,FBLN1,,0.85922
HSPG2,LTBP2,True,0.561127
HSPG2,FBN1,True,0.520073
HSPG2,PDGFB,,0.561127
HSPG2,NID1,,0.794225
MFGE8,PDGFRB,True,0.598835
JUND,ESR1,,0.85922
JUND,TBP,,0.85922
JUND,ATF2,,0.85922
JUND,SMAD4,,0.85922
JUND,EP300,,0.286822
JUND,FOSL2,,0.794225
JUND,SMAD3,,0.561127
JUND,FOS,True,0.206132
JUND,SIRT1,,0.598835
FOS,ESR1,,0.598835
FOS,TBP,,0.221611
FOS,NFKB1,,0.85922
FOS,SUMO1,,0.318993
FOS,ATF2,True,0.0607382
FOS,CREBBP,,0.391484
FOS,NCOA1,,0.217781
FOS,ETS2,,0.561127
FOS,RUNX1,True,0.323872
FOS,RELA,,0.594442
FOS,EP300,,0.391484
FOS,FOSL2,,0.85922
FOS,JUNB,True,0.077143
FOS,RB1,,0.484455
FOS,SMAD3,,0.333363
FOS,CEBPA,,0.561127
FOS,SPI1,,0.561127
FOS,SIRT1,,0.441963
FOS,MAF,,0.561127
FOS,USF2,,0.443583
FOS,LUZP4,,0.392016
ANXA2,ESR1,,0.598835
ANXA2,SUMO1,,0.410771
ANXA2,ITGA4,True,0.598835
ANXA2,GRB2,,0.410771
ANXA2,EP300,,0.598835
ANXA2,STAT6,True,0.381977
ANXA2,SP1,,0.598835
WISP2,TFAP2A,True,0.63215
WISP2,HDAC1,True,0.561127
WISP2,IGF1,,0.85922
WISP2,IGF2,,0.85922
CEBPZ,RELA,,0.598835
CEBPZ,STAT6,True,0.594442
CEBPZ,RXRG,,0.594442
CEBPZ,CBFB,True,0.598835
MAD2L2,REV3L,True,0.0404377
COL1A1,TFAP2A,,0.63215
COL1A1,PDGFB,,0.441963
COL1A1,NID1,,0.549451
RELA,ESR1,,0.216741
RELA,PPARA,,0.561127
RELA,TBP,,0.277756
RELA,NFKB1,,0.0184024
RELA,NFKBIA,True,0.0089825
RELA,CEBPB,,0.286822
RELA,POU2F1,,0.45648
RELA,CREBBP,,0.024565
RELA,STAT3,,0.249941
RELA,SMAD4,,0.492989
RELA,EP300,,0.0239108
RELA,HDAC1,,0.043955
RELA,CEBPD,,0.561127
RELA,ING4,True,0.188961
RELA,SMAD3,,0.594442
RELA,CTNNB1,,0.598835
RELA,SP3,,0.598835
RELA,STAT6,,0.85922
RELA,SP1,,0.117085
RELA,SIRT1,,0.289938
RELA,EGR1,,0.561127
RELA,USF2,,0.594442
NFKBIA,HDAC4,,0.598835
NFKBIA,NFKB1,True,0.0346129
NFKBIA,SUMO1,,0.0850096
NFKBIA,HDAC1,,0.520073
STAT3,ESR1,,0.598835
STAT3,NFKB1,,0.45648
STAT3,CEBPB,,0.598835
STAT3,CREBBP,,0.391484
STAT3,NCOA1,,0.332937
STAT3,EP300,,0.0697257
STAT3,HDAC1,,0.209129
STAT3,RB1,,0.429349
STAT3,STAT6,,0.594442
STAT3,SP1,,0.298244
STAT3,SIRT1,,0.598835
STAT3,PDGFRB,,0.598835
STAT3,NFKBIZ,True,0.344603
CREBBP,ESR1,,0.062125
CREBBP,CREB1,True,0.0166449
CREBBP,TBP,,0.598835
CREBBP,CEBPB,,0.549451
CREBBP,SUMO1,,0.598835
CREBBP,ATF2,,0.125926
CREBBP,NCOA1,,0.185234
CREBBP,ETS2,,0.222954
CREBBP,RUNX1,,0.598835
CREBBP,SMAD4,,0.830932
CREBBP,EP300,,0.356256
CREBBP,E2F1,,0.378934
CREBBP,HDAC1,,0.402371
CREBBP,CITED2,,0.598835
CREBBP,JUNB,,0.598835
CREBBP,ELF3,,0.830932
CREBBP,FOXO1,,0.151164
CREBBP,CEBPD,,0.549451
CREBBP,SMAD3,,0.0576634
CREBBP,CTNNB1,,0.410771
CREBBP,SP3,,0.598835
CREBBP,CEBPA,,0.85922
CREBBP,SPI1,,0.73985
CREBBP,EPAS1,,0.598835
CREBBP,STAT6,,0.33064
CREBBP,SP1,,0.298244
CREBBP,MAF,,0.598835
CREBBP,EGR1,,0.373779
CTNNB1,ESR1,,0.598835
CTNNB1,CREB1,,0.598835
CTNNB1,HDAC4,,0.598835
CTNNB1,NFKB1,,0.332937
CTNNB1,CDH5,True,0.0776288
CTNNB1,SUMO1,,0.598835
CTNNB1,ATF2,,0.598835
CTNNB1,RUNX3,,0.475767
CTNNB1,SMAD4,,0.598835
CTNNB1,EP300,,0.135718
CTNNB1,TFAP2A,,0.598835
CTNNB1,HDAC1,,0.194233
CTNNB1,FOXO1,,0.763579
CTNNB1,SMAD3,,0.221602
CTNNB1,CEBPA,,0.598835
CTNNB1,EPAS1,,0.598835
CTNNB1,SP1,,0.598835
CTNNB1,SIRT1,,0.598835
CTNNB1,EGR1,,0.598835
CTNNB1,BCR/ABL,True,0.475767
HDAC4,ESR1,,0.290969
HDAC4,NFKB1,,0.598835
HDAC4,SUMO1,,0.256637
HDAC4,ATF2,,0.475767
HDAC4,RUNX3,True,0.50668
HDAC4,CIITA,,0.598835
HDAC4,CEBPD,,0.561127
HDAC4,SMAD3,,0.45648
HDAC4,SP1,,0.410771
HDAC4,SIRT1,,0.410771
HDAC4,KRT40,,0.392016
HDAC4,EFEMP2,,0.392016
HDAC4,REV3L,True,0.594442
HDAC4,LDOC1,,0.392016
RUNX3,EP300,,0.520073
RUNX3,HDAC1,,0.830932
RUNX3,SMAD3,True,0.410771
RUNX3,CBFB,True,0.410771
SPI1,TBP,True,0.292047
SPI1,NFKB1,,0.85922
SPI1,CEBPB,,0.549451
SPI1,ETS2,True,0.561127
SPI1,HDAC1,,0.286822
SPI1,RB1,,0.475767
SPI1,CEBPD,True,0.475767
SPI1,CEBPA,True,0.376755
SPI1,HOXA10,True,0.397768
EGR2,WWP2,True,0.398358
FOXA2,NCOA1,True,0.594442
FOXA2,HOXA5,True,0.376967
CEBPA,ESR1,,0.561127
CEBPA,CEBPB,True,0.317513
CEBPA,ATF2,,0.444259
CEBPA,RUNX1,,0.598835
CEBPA,SMAD4,,0.561127
CEBPA,EP300,,0.85922
CEBPA,HDAC1,,0.290357
CEBPA,RB1,,0.520073
CEBPA,CEBPD,,0.765937
CEBPA,SMAD3,,0.561127
CEBPA,MAF,,0.598835
CEBPA,GFAP,True,0.598835
EGR1,CEBPB,True,0.323172
EGR1,SUMO1,True,0.344359
EGR1,EP300,True,0.185284
EGR1,SP1,,0.443981
NFKB1,ESR1,,0.323872
NFKB1,CEBPB,,0.538056
NFKB1,SUMO1,,0.598835
NFKB1,NCOA1,,0.376967
NFKB1,EP300,,0.138546
NFKB1,E2F1,,0.387249
NFKB1,HDAC1,,0.132777
NFKB1,ELF3,True,0.538056
NFKB1,STAT6,,0.441751
NFKB1,SP1,,0.286822
NFKB1,NFKBIZ,True,0.353722
NFKB1,HMGB2,,0.598835
WWP2,TFAP2A,,0.85922
WWP2,SMAD3,,0.243823
ANXA5,SUMO1,,0.598835
ANXA5,ATF2,True,0.598835
ANXA5,FBN1,True,0.598835
FBLN1,SMAD4,True,0.594442
FBLN1,TFAP2A,True,0.63215
FBLN1,SMAD3,,0.594442
FBLN1,NID1,True,0.270413
POU2F2,ESR1,True,0.561127
POU2F2,TBP,True,0.45648
POU2F2,HMGB2,True,0.441963
CHRDL1,BMP4,True,0.830932
KRT40,MFAP1,True,0.392016
SMAD3,ESR1,,0.598835
SMAD3,CEBPB,,0.561127
SMAD3,ATF2,,0.398358
SMAD3,RUNX1,,0.410771
SMAD3,SMAD4,,0.01038
SMAD3,GRB2,,0.598835
SMAD3,EP300,,0.0263479
SMAD3,HDAC1,,0.393241
SMAD3,CITED2,,0.45648
SMAD3,JUNB,,0.458237
SMAD3,FOXO1,,0.598835
SMAD3,CEBPD,,0.45648
SMAD3,EPAS1,,0.427045
SMAD3,SP1,,0.0929716
SMAD3,TGFB1,,0.73224
CREB1,CEBPB,,0.45648
CREB1,SUMO1,,0.598835
CREB1,POU2F1,True,0.45648
CREB1,EP300,True,0.06477
CREB1,HDAC1,,0.332937
CREB1,SIRT1,,0.598835
POU2F1,ESR1,,0.561127
POU2F1,TBP,True,0.353013
POU2F1,HDAC1,,0.537305
POU2F1,SP1,True,0.173236
POU2F1,HMGB2,,0.830932
SP1,ESR1,,0.049107
SP1,TBP,,0.594442
SP1,CEBPB,,0.298244
SP1,SUMO1,,0.598835
SP1,RUNX1,,0.598835
SP1,SMAD4,,0.141656
SP1,GRB2,,0.598835
SP1,EP300,,0.0264913
SP1,TFAP2A,,0.561127
SP1,E2F1,True,0.160158
SP1,HDAC1,,0.0160931
SP1,RB1,,0.298244
SP1,SP3,True,0.111007
SP1,EPAS1,,0.410771
CDH5,FGA,True,0.561127
SAP30,HDAC1,True,0.0349369
RB1,TBP,,0.484455
RB1,CEBPB,,0.211006
RB1,SUMO1,,0.45648
RB1,ATF2,,0.384055
RB1,EP300,,0.268062
RB1,TFAP2A,,0.45648
RB1,E2F1,True,0.0055502
RB1,HDAC1,,0.0113441
RB1,CEBPD,,0.520073
RB1,SP3,,0.85922
RB1,SIRT1,,0.561127
CEBPB,ESR1,,0.226952
CEBPB,SUMO1,,0.598835
CEBPB,ATF2,,0.520073
CEBPB,RUNX1,,0.561127
CEBPB,SMAD4,,0.263308
CEBPB,EP300,,0.274085
CEBPB,HDAC1,,0.410771
CEBPB,FOXO1,True,0.538056
CEBPB,CEBPD,True,0.47306
CEBPB,SP3,,0.598835
CEBPB,STAT6,,0.830932
TFAP2A,SUMO1,,0.410771
TFAP2A,EP300,,0.472754
TFAP2A,CITED2,True,0.326019
TFAP2A,EPAS1,,0.598835
FOXO1,ESR1,,0.222577
FOXO1,SMAD4,,0.558636
FOXO1,EP300,True,0.162463
FOXO1,SIRT1,True,0.298244
FOXO1,HOXA10,,0.85922
FOXO1,HOXA5,,0.549451
FGA,NID1,True,0.561127
PPARA,SUMO1,,0.598835
PPARA,NCOA1,True,0.197174
PPARA,EP300,,0.33726
PPARA,SIRT1,,0.45648
PPARA,RXRG,True,0.353669
SIRT1,ESR1,,0.598835
SIRT1,CIITA,True,0.475767
SIRT1,EP300,,0.410771
SIRT1,E2F1,,0.410771
SIRT1,EPAS1,,0.45648
E2F1,ESR1,,0.598835
E2F1,TBP,True,0.220473
E2F1,SUMO1,,0.598835
E2F1,EP300,,0.298244
