protein1,protein2,in_solution,cost
FN1,PLG,,0.561127
FN1,LGALS1,,0.598835
FN1,PHB,,0.598835
FN1,SERPINA1,,0.598835
FN1,ITIH2,,0.598835
FN1,FGG,,0.598835
FN1,GRB2,,0.407758
FN1,LOX,,0.281077
FN1,YWHAZ,,0.598835
FN1,FBLN1,,0.393241
FN1,HSPG2,,0.391484
FN1,EGFR,,0.594442
FN1,FGA,,0.598835
FN1,COL1A1,,0.376967
FN1,IGFBP5,,0.717078
FN1,FBN1,True,0.391484
FN1,TNC,True,0.410116
FN1,F2,,0.598835
EIF1B,ANXA2,True,0.598835
EIF1B,MXRA5,True,0.598835
EIF1B,TXN,,0.598835
S100A11,VHL,,0.598835
S100A11,ATF2,True,0.598835
S100A11,S100B,True,0.369885
TWIST1,NFKB1,True,0.598835
TWIST1,ETS2,True,0.409355
TWIST1,RELA,True,0.410771
TWIST1,SOX2,True,0.598835
TWIST1,HDAC3,,0.598835
TWIST1,TCF4,,0.561127
GLI1,VHL,True,0.443981
GLI1,TRIM42,True,0.443583
GLI1,PRKCI,True,0.381524
ABI3BP,GRB2,,0.594442
ABI3BP,CBX1,True,0.492989
ITIH4,GRB2,True,0.594442
ITIH4,TP63,True,0.594442
S100B,S100P,,0.392016
S100B,S100A1,True,0.0876263
S100B,GFAP,,0.85922
ANXA7,FGB,True,0.594442
ADAMTSL3,KRTAP10-8,True,0.392016
ADAMTSL3,KRT40,True,0.392016
ERG,PARP1,True,0.296056
ERG,JUN,,0.561127
ERG,ETS2,True,0.381203
ERG,SPI1,,0.85922
SOX2,NCOR2,,0.598835
SOX2,SUMO1,,0.392016
SOX2,JUND,,0.598835
SOX2,LOX,,0.598835
SOX2,YWHAZ,,0.598835
SOX2,HDAC3,,0.410771
SOX2,PIAS1,,0.598835
SOX2,CTNNB1,,0.598835
SOX2,MFAP1,True,0.598835
SOX2,CDX1,True,0.561127
SOX2,PRKCI,,0.561127
CDK6,HSF1,,0.441963
CDK6,DDIT3,,0.441963
CDK6,RB1,True,0.0476394
CDK6,CTNNB1,,0.598835
SERPIND1,F2,True,0.654948
VDR,NCOR2,,0.393241
VDR,CREBBP,,0.44596
VDR,JUN,,0.561127
VDR,NCOA1,True,0.107499
VDR,RXRA,True,0.0180814
VDR,RB1,,0.561127
VDR,FOS,,0.561127
VDR,CEBPA,,0.598835
VDR,HR,True,0.323872
VDR,RXRG,,0.413476
VHL,NR4A1,,0.45648
VHL,ANXA2,,0.598835
VHL,PARP1,,0.598835
VHL,SUMO1,,0.598835
VHL,EGLN1,,0.598835
VHL,PLOD2,,0.598835
VHL,CBX1,,0.561127
VHL,E2F1,,0.45648
VHL,HIF1A,,0.0041523
VHL,HDAC3,,0.561127
VHL,RB1,,0.598835
VHL,EPAS1,True,0.0424597
VHL,SP1,,0.332937
VHL,TXN,,0.598835
OS9,EGLN1,,0.391484
OS9,PLOD2,True,0.598835
OS9,SERPINA1,True,0.298244
OS9,CREB3,,0.594442
OS9,HIF1A,,0.296081
OS9,EGFR,,0.598835
EGFR,CDH5,,0.594442
EGFR,CEBPB,,0.571676
EGFR,HCFC1,,0.598835
EGFR,PDIA3,,0.598835
EGFR,SPARCL1,True,0.492989
EGFR,LGALS1,True,0.410771
EGFR,STAT3,,0.0664555
EGFR,ITIH2,True,0.598835
EGFR,GRB2,,0.0117073
EGFR,HIST1H3D,,0.73224
EGFR,NRG1,True,0.407758
EGFR,YWHAZ,,0.159992
EGFR,S100A9,,0.585069
EGFR,MAP2K4,,0.598835
EGFR,CTNNB1,,0.286822
EGFR,FOS,,0.598835
EGFR,TNC,,0.830932
EGFR,MAP3K14,,0.585069
EGFR,TXN,,0.36509
EGFR,STAT2,,0.594442
EGFR,MAPK8,,0.594442
SPP1,PARP1,,0.598835
SPP1,IGFBP5,True,0.561127
SPP1,EPAS1,,0.594442
SPP1,F2,,0.598835
MAD2L1,HSF1,True,0.598835
MAD2L1,ADAM17,True,0.233589
MAD2L1,ADAM10,True,0.598835
MAD2L1,CDC20,True,0.0088398
MAD2L1,MAD1L1,True,0.0390978
LUM,GNAQ,True,0.492989
LUM,MMP14,True,0.311981
SEMA4B,DLG4,True,0.830932
MUC5AC,GALNT12,True,0.561127
MAPK8,NR4A1,,0.376967
MAPK8,ATF2,True,0.0303928
MAPK8,HSF1,,0.538056
MAPK8,JUN,,0.0050492
MAPK8,STAT3,,0.391484
MAPK8,JUND,,0.235165
MAPK8,YWHAZ,,0.561127
MAPK8,MAP2K4,True,0.042336
MAPK8,RB1,,0.598835
MAPK8,CTNNB1,,0.45648
MAPK8,CEBPA,,0.388868
MAPK8,SPI1,,0.561127
MAPK8,REL,,0.432458
MAPK8,SP1,,0.391484
POSTN,TRAPPC2L,True,0.63215
PCOLCE,PLG,True,0.370243
PCOLCE,COL3A1,,0.85922
MYB,PARP1,,0.598835
MYB,SDC2,True,0.598835
MYB,CEBPB,,0.654948
MYB,SUMO1,,0.286822
MYB,CREBBP,True,0.0804
MYB,ADAM22,True,0.598835
MYB,PIAS1,,0.594442
HDAC3,PARP1,,0.45648
HDAC3,NCOR2,True,0.0246081
HDAC3,RARA,,0.561127
HDAC3,NFKB1,,0.472309
HDAC3,NFKBIA,,0.520073
HDAC3,SUMO1,,0.598835
HDAC3,CREBBP,,0.449051
HDAC3,DNMT1,,0.598835
HDAC3,JUN,,0.585069
HDAC3,STAT3,,0.298244
HDAC3,RELA,,0.344359
HDAC3,CREB3,,0.398358
HDAC3,HIF1A,,0.323872
HDAC3,IL16,True,0.45648
HDAC3,RXRA,,0.561127
HDAC3,SRF,,0.598835
HDAC3,RB1,,0.292407
HDAC3,HDAC5,,0.165007
HDAC3,SPI1,,0.598835
HDAC3,SP1,,0.598835
ADAM17,PDIA3,True,0.45648
NCOR2,NR4A1,True,0.296081
NCOR2,PPARA,,0.353669
NCOR2,RARA,True,0.0465326
NCOR2,NFKB1,,0.646972
NCOR2,NFKBIA,,0.410771
NCOR2,CEBPB,,0.45648
NCOR2,SUMO1,,0.561127
NCOR2,CHUK,,0.370243
NCOR2,CREBBP,,0.598835
NCOR2,JUN,,0.458237
NCOR2,RELA,,0.222577
NCOR2,E2F1,,0.475767
NCOR2,RXRA,,0.167174
NCOR2,SRF,,0.451021
NCOR2,FOS,,0.419331
NCOR2,HDAC5,,0.333363
NCOR2,SP1,,0.398358
NRG1,ERBB3,True,0.270413
NFIC,PARP1,True,0.598835
NFIC,CREBBP,,0.85922
DNMT3A,IRF9,,0.598835
DNMT3A,SUMO1,,0.45648
DNMT3A,DNMT1,True,0.332937
DNMT3A,HIST1H3D,,0.316528
DNMT3A,CBX1,True,0.561127
DNMT3A,RB1,,0.561127
DNMT3A,PIAS1,True,0.201508
DNMT3A,SPI1,True,0.45648
DNMT3A,UHRF1,True,0.286822
CBX1,SUMO1,,0.598835
CBX1,DNMT1,,0.538056
CBX1,HIST1H3D,True,0.0485359
CBX1,VTN,,0.492989
CBX1,RB1,,0.561127
CBX1,BAP1,,0.598835
PIAS3,SUMO1,,0.251912
PIAS3,CREBBP,,0.598835
PIAS3,STAT3,True,0.120196
PIAS3,RELA,,0.290969
PIAS3,SERPINA10,True,0.594442
PIAS3,SKIL,,0.594442
S100A9,VTN,True,0.654948
S100A9,S100A8,True,0.13909
S100A1,S100P,True,0.197874
S100A1,GFAP,,0.85922
S100A8,IGSF21,True,0.452941
COL3A1,LOX,True,0.512276
COL3A1,SP1,True,0.598835
GRIN2A,DLG4,True,0.0823466
GRIN2A,IL16,True,0.472754
CDC20,SUMO1,,0.598835
CDC20,CREBBP,,0.410771
CDC20,HSF1,True,0.332937
CDC20,E2F1,,0.598835
MAP3K14,NFKBIA,,0.561127
MAP3K14,CHUK,True,0.0306849
MAP3K14,ZFP91,True,0.388868
MAP3K14,MAP2K4,,0.85922
YWHAZ,ANXA2,,0.598835
YWHAZ,PARP1,,0.598835
YWHAZ,DNMT1,,0.598835
YWHAZ,LGALS1,,0.598835
YWHAZ,PHB,,0.598835
YWHAZ,GRB2,,0.598835
YWHAZ,HIST1H3D,,0.219684
YWHAZ,ADAM22,True,0.285443
YWHAZ,HRNR,True,0.598835
YWHAZ,PIAS1,,0.594442
YWHAZ,CTNNB1,,0.312498
YWHAZ,RFWD2,,0.429349
YWHAZ,HDAC5,,0.410771
YWHAZ,TXN,,0.598835
DDIT3,CEBPB,True,0.120382
DDIT3,ATF2,,0.484455
DDIT3,CREBBP,,0.598835
DDIT3,JUN,,0.318993
DDIT3,NFIL3,True,0.484455
DDIT3,JUND,,0.388167
DDIT3,CREB3,,0.484455
DDIT3,FOS,,0.263308
DDIT3,CEBPA,,0.85922
DDIT3,HDAC5,,0.598835
DDIT3,EPAS1,,0.561127
DDIT3,F2,,0.492989
PHB,ANXA2,,0.398358
PHB,PARP1,,0.598835
PHB,ATF2,,0.598835
PHB,RELA,,0.598835
PHB,E2F1,True,0.10897
PHB,ADAM10,True,0.598835
PHB,RB1,,0.185171
PHB,FOS,,0.73224
PHB,HDAC5,,0.410771
PHB,EPAS1,,0.598835
KRTAP10-8,MATN3,True,0.392016
ADAM10,SUMO1,,0.598835
ADAM10,PDIA3,,0.45648
ADAM10,GRB2,,0.598835
VCAN,FBLN1,,0.85922
VCAN,SELL,True,0.561127
VCAN,FBN1,True,0.561127
S100A13,IRF9,True,0.492989
REL,TRAPPC2L,True,0.392016
REL,NFKB1,,0.318828
REL,NFKBIA,True,0.298244
REL,CREBBP,,0.45648
REL,RELA,,0.118504
REL,GRB2,,0.443583
REL,SRF,,0.561127
REL,SP1,,0.561127
REL,ELF1,True,0.561127
GNAQ,RARA,True,0.409355
GNAQ,PARP2,,0.561127
RXRA,NR4A1,,0.333363
RXRA,PPARA,True,0.121151
RXRA,PARP1,,0.85922
RXRA,RARA,True,0.0237706
RXRA,NFKB1,,0.549451
RXRA,SUMO1,,0.598835
RXRA,NCOA1,,0.0571239
RXRA,RELA,,0.391484
RXRA,SRF,,0.73985
RXRA,CTNNB1,,0.410771
RXRA,SP1,,0.391484
CHUK,NFKB1,,0.322417
CHUK,NFKBIA,True,0.00870204
CHUK,CREBBP,,0.232915
CHUK,RELA,,0.0713959
CHUK,PIAS1,,0.394133
CHUK,CTNNB1,,0.323872
UHRF1,PARP1,True,0.45648
UHRF1,DNMT1,True,0.0328129
UHRF1,HIST1H3D,,0.432548
UHRF1,RB1,,0.598835
UHRF1,PARP2,True,0.598835
SELL,EMCN,True,0.598835
SELL,GRB2,,0.598835
SELL,PRKCI,,0.85922
MMP2,TIMP2,True,0.0400704
MMP2,THBS2,True,0.472754
MMP2,COL1A1,True,0.561127
MMP2,MMP14,,0.794225
MMP2,COL6A3,,0.85922
VTN,KNG1,True,0.538056
VTN,FGG,True,0.830932
VTN,IGFBP5,True,0.549451
VTN,HGF,,0.561127
SPOCK3,CREB3,True,0.63215
SPOCK3,SPOCK2,True,0.598835
SPOCK3,MMP14,True,0.598835
HIF1A,NR4A1,,0.598835
HIF1A,PARP1,,0.598835
HIF1A,SUMO1,,0.159843
HIF1A,EGLN1,True,0.11093
HIF1A,CREBBP,,0.0440061
HIF1A,JUN,,0.410771
HIF1A,NCOA1,,0.561127
HIF1A,STAT3,,0.410771
HIF1A,RELA,,0.598835
HIF1A,RB1,,0.419206
HIF1A,CTNNB1,,0.598835
HIF1A,HDAC5,,0.45648
HIF1A,EPAS1,,0.598835
HIF1A,SP1,True,0.233609
PARP1,RARA,,0.585069
PARP1,NFKB1,,0.305598
PARP1,SUMO1,,0.298244
PARP1,CREBBP,,0.561127
PARP1,DNMT1,,0.598835
PARP1,JUN,,0.598835
PARP1,RELA,,0.243823
PARP1,HIST1H3D,,0.344359
PARP1,E2F1,True,0.300183
PARP1,CTNNB1,,0.598835
PARP1,CEBPA,,0.397933
PARP1,HDAC5,,0.598835
PARP1,PARP2,,0.598835
PARP1,SP1,,0.45648
PARP1,TCF4,,0.85922
GALNT12,RB1,,0.63215
KNG1,PLG,True,0.561127
ETS1,NFKB1,,0.598835
ETS1,ATF2,,0.561127
ETS1,CREBBP,,0.17137
ETS1,JUN,True,0.376967
ETS1,ETS2,True,0.542247
ETS1,JUND,True,0.598835
ETS1,RFWD2,,0.409355
ETS1,FOS,,0.85922
ETS1,SPI1,,0.561127
ETS1,EPAS1,,0.598835
ETS1,STAT6,,0.85922
ETS1,SP1,,0.85922
RARA,SUMO1,,0.291014
RARA,CREBBP,,0.410771
RARA,NCOA1,True,0.0489447
RARA,E2F1,,0.45648
RARA,CEBPA,,0.45648
RARA,SPI1,,0.537305
RARA,SP1,True,0.227185
RARA,HR,,0.594442
RARA,ASXL1,True,0.410771
RARA,BAP1,,0.598835
RARA,RXRG,True,0.123848
PLG,ANXA2,True,0.585069
PLG,SERPINC1,True,0.85922
PLG,RELA,,0.598835
JUN,CREB1,,0.598835
JUN,SUMO1,,0.277056
JUN,ATF2,True,0.0471359
JUN,CREBBP,,0.0679733
JUN,HCFC1,,0.85922
JUN,NCOA1,True,0.24053
JUN,STAT3,,0.45648
JUN,ETS2,True,0.413127
JUN,JUND,,0.85922
JUN,RELA,,0.594442
JUN,ETV4,True,0.594442
JUN,CREB3,,0.475767
JUN,MAP2K4,,0.561127
JUN,RB1,,0.261191
JUN,PIAS1,,0.549451
JUN,RFWD2,True,0.221602
JUN,FOS,True,0.00972444
JUN,CEBPA,,0.598835
JUN,SPI1,,0.484455
JUN,EPAS1,,0.561127
JUN,STAT6,,0.598835
JUN,SP1,,0.243823
JUN,EGR1,,0.830932
JUN,TCF4,,0.830932
SERPINC1,SDC2,True,0.85922
SERPINC1,F9,True,0.561127
PARP2,CHRDL1,True,0.561127
PARP2,CTNNB1,,0.561127
TRAPPC2L,TCF4,,0.443583
HIST1H3D,CREB1,,0.598835
HIST1H3D,SUMO1,,0.598835
HIST1H3D,EGLN1,,0.475111
HIST1H3D,CREBBP,,0.0540666
HIST1H3D,GRB2,,0.598835
ITIH2,ATP5C1,True,0.492989
MATN3,TCF4,True,0.443583
SRF,CREB1,,0.765937
SRF,NFKB1,,0.561127
SRF,CEBPB,True,0.277056
SRF,SUMO1,,0.598835
SRF,CREBBP,,0.33141
SRF,RELA,,0.561127
SRF,ETV4,,0.85922
SRF,SP1,,0.561127
SRF,RXRG,,0.561127
HCFC1,E2F1,,0.472754
HCFC1,CREB3,True,0.0537399
HCFC1,EGR2,True,0.594442
HCFC1,HDAC5,,0.598835
HCFC1,SP1,True,0.275217
HCFC1,BAP1,True,0.0406112
TNC,HGF,True,0.561127
HSPG2,VWA1,True,0.85922
HSPG2,GRB2,,0.598835
HSPG2,LOX,,0.598835
HSPG2,FBLN1,,0.85922
HSPG2,FBN1,True,0.520073
HSPG2,NID1,,0.794225
HSPG2,HGF,,0.561127
JUND,ATF2,,0.85922
JUND,RFWD2,,0.407758
JUND,FOS,True,0.206132
FOS,NFKB1,,0.85922
FOS,SUMO1,,0.318993
FOS,ATF2,,0.0607382
FOS,CREBBP,,0.391484
FOS,NCOA1,,0.217781
FOS,ETS2,,0.561127
FOS,RELA,,0.594442
FOS,ZFP91,True,0.598835
FOS,RB1,,0.484455
FOS,CEBPA,,0.561127
FOS,SPI1,,0.561127
ANXA2,SUMO1,,0.410771
ANXA2,GRB2,,0.410771
ANXA2,STAT6,True,0.381977
ANXA2,SP1,,0.598835
COL1A1,LOX,True,0.512276
COL1A1,TXN,True,0.458237
COL1A1,NID1,True,0.549451
SPARCL1,SKIL,True,0.594442
RELA,PPARA,,0.561127
RELA,NFKB1,,0.0184024
RELA,IRF9,,0.561127
RELA,NFKBIA,True,0.0089825
RELA,CEBPB,True,0.286822
RELA,CREBBP,,0.024565
RELA,STAT3,,0.249941
RELA,PIAS1,,0.765937
RELA,CTNNB1,,0.598835
RELA,STAT6,,0.85922
RELA,SP1,,0.117085
RELA,EGR1,,0.561127
RELA,TP63,,0.598835
RELA,TCF4,,0.443583
DLG4,GRB2,,0.598835
DLG4,ADAM22,True,0.598835
DLG4,KCND2,,0.594442
NFKBIA,NFKB1,True,0.0346129
NFKBIA,SUMO1,,0.0850096
NFKBIA,HDAC5,,0.598835
NFKBIA,CD7,True,0.492989
STAT3,NR4A1,,0.472754
STAT3,NFKB1,,0.45648
STAT3,CEBPB,,0.598835
STAT3,CREBBP,,0.391484
STAT3,PDIA3,,0.598835
STAT3,DNMT1,,0.537305
STAT3,NCOA1,,0.332937
STAT3,RB1,,0.429349
STAT3,STAT6,,0.594442
STAT3,SP1,,0.298244
STAT3,STAT2,,0.598835
STAT3,ASXL1,,0.594442
STAT3,NFKBIZ,True,0.344603
MMP14,TIMP2,True,0.14318
CREBBP,CREB1,True,0.0166449
CREBBP,IRF9,,0.598835
CREBBP,CEBPB,,0.549451
CREBBP,SUMO1,,0.598835
CREBBP,ATF2,,0.125926
CREBBP,HSF1,,0.538056
CREBBP,NCOA1,,0.185234
CREBBP,ETS2,True,0.222954
CREBBP,E2F1,,0.378934
CREBBP,PIAS1,,0.763579
CREBBP,CTNNB1,,0.410771
CREBBP,CEBPA,,0.85922
CREBBP,SPI1,,0.73985
CREBBP,EPAS1,,0.598835
CREBBP,STAT6,,0.33064
CREBBP,SP1,,0.298244
CREBBP,STAT2,,0.323172
CREBBP,EGR1,,0.373779
CTNNB1,NR4A1,,0.598835
CTNNB1,CREB1,,0.598835
CTNNB1,NFKB1,,0.332937
CTNNB1,CDH5,True,0.0776288
CTNNB1,SUMO1,,0.598835
CTNNB1,ATF2,,0.598835
CTNNB1,CEBPA,,0.598835
CTNNB1,EPAS1,,0.598835
CTNNB1,SP1,,0.598835
CTNNB1,EGR1,,0.598835
COL6A3,PDIA3,True,0.561127
SPI1,NFKB1,,0.85922
SPI1,CEBPB,True,0.549451
SPI1,ETS2,True,0.561127
SPI1,RB1,,0.475767
SPI1,CEBPA,True,0.376755
SPI1,IRF4,True,0.410116
ZFP91,SUMO1,,0.598835
IRF9,NFKB1,,0.561127
IRF9,STAT2,True,0.215075
FGB,FGG,True,0.484178
FGB,FBLN1,True,0.561127
FGB,FGA,True,0.359057
FGB,KHDRBS2,,0.598835
FGB,NID1,,0.549451
HSF1,CEBPB,True,0.441751
HSF1,SUMO1,,0.29487
NFIL3,CREB3,,0.830932
CEBPA,CEBPB,True,0.317513
CEBPA,ATF2,,0.444259
CEBPA,RB1,,0.520073
CEBPA,PIAS1,,0.549451
CEBPA,CDX1,True,0.318539
CEBPA,ASXL1,,0.598835
CEBPA,GFAP,True,0.598835
EGR1,CEBPB,True,0.323172
EGR1,SUMO1,True,0.344359
EGR1,SP1,True,0.443981
EGR1,ERBB3,True,0.594442
NFKB1,NR4A1,,0.594442
NFKB1,CEBPB,,0.538056
NFKB1,SUMO1,,0.598835
NFKB1,NCOA1,,0.376967
NFKB1,E2F1,,0.387249
NFKB1,HDAC5,,0.45648
NFKB1,STAT6,,0.441751
NFKB1,SP1,,0.286822
NFKB1,TXN,,0.654948
NFKB1,ELF1,True,0.376967
NFKB1,TP63,,0.598835
NFKB1,NFKBIZ,True,0.353722
FBLN1,SKIL,,0.594442
FBLN1,NID1,True,0.270413
KRT40,MFAP1,True,0.392016
HRNR,KHDRBS2,True,0.598835
IGFBP5,FBN1,True,0.598835
IGFBP5,ADAM12,True,0.561127
LOX,FBN1,True,0.289938
LOX,EFEMP2,,0.244348
CREB1,CEBPB,True,0.45648
CREB1,SUMO1,,0.598835
CREB1,PIAS1,,0.594442
F2,FGA,True,0.436465
LGALS1,CD7,True,0.571676
SP1,CEBPB,True,0.298244
SP1,SUMO1,,0.598835
SP1,DNMT1,,0.598835
SP1,GRB2,,0.598835
SP1,E2F1,True,0.160158
SP1,RB1,,0.298244
SP1,EPAS1,,0.410771
SP1,ELF1,,0.407424
CDH5,FGA,True,0.561127
FGG,FGA,,0.507128
FGG,KHDRBS2,True,0.598835
HDAC5,HR,True,0.598835
DNMT1,E2F1,,0.654948
DNMT1,RB1,,0.264402
STAT2,STAT6,True,0.571676
SDC2,SERPINA1,True,0.594442
SDC2,HGF,True,0.561127
CEBPB,SUMO1,,0.598835
CEBPB,ATF2,,0.520073
CEBPB,RB1,,0.211006
CEBPB,STAT6,,0.830932
CEBPB,TP63,,0.598835
RB1,SUMO1,,0.45648
RB1,ATF2,,0.384055
RB1,E2F1,True,0.0055502
FGA,KHDRBS2,,0.598835
FGA,NID1,,0.561127
PPARA,SUMO1,,0.598835
PPARA,NCOA1,True,0.197174
PPARA,RXRG,True,0.353669
E2F1,SUMO1,,0.598835
SERPINA1,ATP5C1,True,0.594442
SUMO1,ATF2,,0.392016
SUMO1,ETV4,,0.45648
SUMO1,PIAS1,,0.0454023
SUMO1,EPAS1,,0.410771
SUMO1,COL16A1,True,0.598835
RFWD2,ETS2,,0.45648
RFWD2,ETV4,True,0.298244
GRB2,PRG4,True,0.598835
GRB2,ERBB3,,0.410771
GRB2,KHDRBS2,,0.85922
GRB2,ADAM12,,0.85922
GRB2,ASXL1,,0.598835
GRB2,TP63,,0.85922
COL16A1,GFAP,True,0.73224
FBN1,EFEMP2,True,0.32463
ETV4,TP63,True,0.598835
NCOA1,NR4A1,,0.561127
NCOA1,STAT6,True,0.0831664
EPAS1,EGLN1,True,0.115011
MFAP1,MAD1L1,True,0.443583
MFAP1,TRIM42,True,0.443583
ATF2,PDIA3,,0.598835
ATF2,ATP5C1,,0.598835
STAT6,IRF4,True,0.323872
IL16,EFEMP2,True,0.594442
IL16,KCND2,True,0.530378
NR4A1,RXRG,True,0.561127
NR4A1,TCF4,,0.594442
SKIL,NID1,,0.594442
ASXL1,BAP1,True,0.0632336
PRKCI,PARD6B,True,0.122545
